iter	Passed	Remaining
0	132	132669
1	135	67566
2	137	45837
3	141	35287
4	144	28832
5	147	24508
6	152	21655
7	156	19373
8	158	17501
9	162	16049
10	165	14838
11	169	13942
12	172	13095
13	175	12363
14	178	11706
15	180	11105
16	187	10820
17	190	10391
18	196	10124
19	205	10047
20	208	9706
21	211	9407
22	219	9343
23	223	9098
24	226	8832
25	231	8681
26	235	8475
27	237	8242
28	239	8033
29	245	7953
30	248	7781
31	251	7622
32	254	7449
33	257	7319
34	260	7193
35	264	7087
36	267	6959
37	270	6846
38	274	6764
39	277	6659
40	280	6551
41	283	6467
42	287	6399
43	290	6321
44	293	6224
45	296	6148
46	301	6118
47	305	6051
48	307	5967
49	310	5893
50	312	5816
51	315	5749
52	318	5698
53	321	5640
54	325	5595
55	332	5606
56	335	5543
57	337	5486
58	340	5427
59	343	5378
60	346	5331
61	349	5281
62	352	5242
63	355	5194
64	359	5176
65	362	5133
66	365	5095
67	368	5048
68	370	5004
69	377	5018
70	381	4997
71	384	4956
72	386	4910
73	390	4891
74	393	4852
75	396	4825
76	400	4795
77	403	4774
78	406	4743
79	409	4713
80	412	4684
81	415	4648
82	417	4615
83	421	4600
84	424	4572
85	427	4544
86	430	4513
87	433	4491
88	436	4465
89	439	4445
90	442	4416
91	444	4387
92	447	4362
93	449	4335
94	452	4313
95	455	4288
96	457	4260
97	460	4236
98	464	4223
99	466	4200
100	469	4177
101	471	4154
102	475	4142
103	480	4140
104	484	4127
105	488	4118
106	493	4116
107	497	4105
108	500	4090
109	502	4069
110	508	4074
111	516	4094
112	520	4086
113	524	4076
114	527	4062
115	533	4064
116	537	4060
117	542	4058
118	546	4048
119	551	4041
120	555	4035
121	558	4019
122	562	4010
123	567	4007
124	573	4011
125	575	3993
126	579	3981
127	585	3988
128	587	3969
129	590	3952
130	593	3933
131	597	3928
132	600	3917
133	603	3901
134	606	3885
135	608	3868
136	614	3868
137	616	3853
138	621	3852
139	625	3844
140	629	3832
141	630	3812
142	634	3800
143	637	3790
144	645	3806
145	648	3793
146	651	3781
147	654	3768
148	659	3765
149	662	3754
150	665	3743
151	668	3730
152	673	3728
153	678	3726
154	681	3714
155	684	3701
156	690	3707
157	693	3695
158	696	3685
159	699	3674
160	703	3667
161	707	3660
162	710	3648
163	713	3637
164	716	3626
165	719	3615
166	722	3602
167	727	3603
168	732	3600
169	735	3591
170	738	3578
171	741	3569
172	749	3583
173	752	3571
174	755	3560
175	759	3555
176	765	3560
177	768	3547
178	772	3542
179	777	3540
180	780	3532
181	783	3520
182	785	3508
183	798	3541
184	811	3573
185	814	3563
186	816	3551
187	823	3555
188	826	3545
189	828	3532
190	830	3519
191	833	3507
192	837	3503
193	840	3492
194	843	3481
195	845	3470
196	848	3458
197	855	3465
198	859	3458
199	862	3449
200	865	3439
201	868	3431
202	871	3422
203	874	3411
204	877	3402
205	881	3396
206	885	3390
207	887	3380
208	891	3374
209	895	3367
210	899	3362
211	902	3353
212	904	3343
213	907	3334
214	912	3330
215	914	3320
216	917	3310
217	919	3298
218	921	3286
219	924	3279
220	927	3270
221	931	3263
222	934	3255
223	936	3244
224	939	3236
225	942	3228
226	945	3220
227	950	3217
228	958	3226
229	961	3218
230	963	3209
231	966	3198
232	968	3188
233	971	3180
234	974	3172
235	976	3161
236	979	3152
237	981	3142
238	983	3131
239	986	3124
240	990	3118
241	992	3109
242	995	3100
243	997	3091
244	999	3081
245	1003	3074
246	1005	3065
247	1007	3056
248	1010	3048
249	1013	3040
250	1017	3034
251	1019	3025
252	1021	3016
253	1024	3007
254	1026	2998
255	1028	2989
256	1033	2988
257	1036	2980
258	1038	2971
259	1040	2961
260	1043	2954
261	1047	2951
262	1052	2949
263	1055	2941
264	1057	2933
265	1060	2925
266	1063	2920
267	1066	2912
268	1068	2904
269	1071	2896
270	1073	2888
271	1078	2886
272	1081	2878
273	1083	2870
274	1085	2861
275	1088	2854
276	1093	2853
277	1096	2847
278	1098	2839
279	1101	2831
280	1103	2823
281	1107	2818
282	1109	2811
283	1111	2803
284	1114	2795
285	1116	2788
286	1119	2780
287	1122	2775
288	1125	2769
289	1128	2762
290	1131	2755
291	1133	2748
292	1137	2745
293	1141	2740
294	1143	2733
295	1146	2725
296	1151	2725
297	1155	2720
298	1157	2714
299	1160	2708
300	1163	2701
301	1167	2697
302	1171	2694
303	1175	2690
304	1177	2683
305	1184	2686
306	1187	2681
307	1192	2679
308	1198	2679
309	1200	2672
310	1203	2666
311	1205	2659
312	1211	2658
313	1214	2654
314	1217	2648
315	1220	2641
316	1229	2647
317	1231	2641
318	1234	2635
319	1248	2652
320	1251	2646
321	1255	2642
322	1259	2640
323	1262	2634
324	1266	2630
325	1273	2632
326	1278	2630
327	1281	2625
328	1291	2634
329	1294	2627
330	1303	2633
331	1308	2633
332	1312	2628
333	1322	2637
334	1325	2630
335	1338	2645
336	1341	2640
337	1344	2633
338	1350	2632
339	1353	2627
340	1356	2622
341	1359	2614
342	1362	2609
343	1366	2606
344	1369	2600
345	1372	2593
346	1375	2588
347	1379	2583
348	1381	2576
349	1384	2570
350	1386	2563
351	1389	2557
352	1395	2557
353	1398	2551
354	1400	2545
355	1408	2547
356	1413	2545
357	1420	2547
358	1424	2542
359	1427	2537
360	1431	2533
361	1433	2527
362	1438	2524
363	1442	2520
364	1445	2513
365	1447	2507
366	1450	2501
367	1455	2499
368	1459	2495
369	1462	2490
370	1467	2487
371	1470	2482
372	1473	2476
373	1476	2471
374	1480	2466
375	1484	2463
376	1487	2457
377	1490	2452
378	1493	2446
379	1497	2443
380	1500	2438
381	1503	2432
382	1506	2426
383	1508	2419
384	1512	2416
385	1515	2410
386	1518	2404
387	1520	2398
388	1523	2392
389	1527	2388
390	1529	2382
391	1531	2376
392	1534	2369
393	1536	2363
394	1539	2357
395	1542	2352
396	1544	2346
397	1547	2340
398	1549	2334
399	1554	2331
400	1557	2326
401	1560	2320
402	1562	2314
403	1564	2307
404	1566	2302
405	1569	2296
406	1572	2291
407	1575	2285
408	1577	2279
409	1579	2273
410	1582	2268
411	1585	2263
412	1588	2257
413	1590	2251
414	1593	2245
415	1595	2239
416	1599	2236
417	1602	2231
418	1605	2226
419	1607	2220
420	1610	2214
421	1613	2209
422	1615	2203
423	1617	2197
424	1620	2192
425	1622	2186
426	1625	2180
427	1627	2175
428	1630	2170
429	1633	2165
430	1635	2159
431	1638	2153
432	1640	2148
433	1644	2145
434	1647	2140
435	1650	2134
436	1652	2129
437	1655	2123
438	1659	2120
439	1664	2117
440	1666	2112
441	1668	2106
442	1670	2100
443	1673	2095
444	1676	2090
445	1679	2086
446	1682	2081
447	1685	2076
448	1690	2074
449	1693	2069
450	1695	2064
451	1697	2058
452	1700	2053
453	1703	2049
454	1708	2045
455	1710	2040
456	1713	2036
457	1715	2030
458	1725	2033
459	1729	2030
460	1732	2025
461	1736	2021
462	1739	2017
463	1743	2013
464	1750	2013
465	1755	2011
466	1757	2005
467	1759	2000
468	1761	1994
469	1765	1990
470	1768	1986
471	1771	1981
472	1774	1976
473	1777	1972
474	1781	1968
475	1784	1963
476	1786	1959
477	1789	1953
478	1791	1948
479	1796	1946
480	1799	1942
481	1802	1936
482	1804	1931
483	1806	1926
484	1810	1922
485	1813	1918
486	1816	1913
487	1818	1908
488	1821	1903
489	1823	1898
490	1826	1893
491	1829	1889
492	1831	1883
493	1834	1878
494	1836	1873
495	1840	1869
496	1843	1866
497	1846	1861
498	1849	1856
499	1851	1851
500	1856	1848
501	1859	1844
502	1861	1839
503	1864	1834
504	1876	1839
505	1878	1834
506	1881	1829
507	1888	1829
508	1891	1824
509	1893	1819
510	1896	1814
511	1900	1811
512	1904	1807
513	1907	1803
514	1909	1798
515	1912	1793
516	1915	1789
517	1919	1785
518	1922	1781
519	1925	1776
520	1927	1772
